Ciclo,Inicio,Fim,Estados únicos,Motivos únicos,Quantidade Linhas PreBack,Quantidade Linhas Backtest
D0,2023-01-02 09:25:00,2024-01-19 13:35:27,['desativada'],['Mantém estado'],1105,1105
D1,2023-01-02 09:48:00,2023-01-02 10:47:00,['desativada'],['Mantém estado'],10,10
D2,2023-01-02 11:05:00,2023-01-02 12:33:00,['desativada'],['Mantém estado'],12,12
D3,2023-01-02 12:48:00,2023-01-02 14:53:00,['desativada'],['Mantém estado'],22,22
D4,2023-01-02 15:15:00,2023-01-02 15:20:00,['desativada'],['Mantém estado'],3,3
D5,2023-01-02 15:51:00,2023-01-02 16:52:00,['desativada'],['Mantém estado'],7,7
D6,2023-01-03 09:29:00,2023-01-03 11:03:00,['desativada'],['Mantém estado'],13,13
D7,2023-01-03 11:05:00,2023-01-03 11:41:00,['desativada'],['Mantém estado'],6,6
D8,2023-01-03 12:07:00,2023-01-03 12:16:00,['desativada'],['Mantém estado'],3,3
D9,2023-01-03 12:34:00,2023-01-03 16:45:00,['desativada'],['Mantém estado'],36,36
D10,2023-01-03 16:59:00,2023-01-04 10:07:00,['desativada'],['Mantém estado'],11,11
D11,2023-01-04 10:21:00,2023-01-04 10:40:00,['desativada'],['Mantém estado'],4,4
D12,2023-01-04 12:04:00,2023-01-05 12:12:00,['desativada'],['Mantém estado'],70,70
D13,2023-01-05 14:19:00,2023-01-05 14:25:00,['desativada'],['Mantém estado'],2,2
D14,2023-01-05 14:46:00,2023-01-05 15:39:00,['desativada'],['Mantém estado'],12,12
D15,2023-01-05 16:16:00,2023-01-05 16:23:00,['desativada'],['Mantém estado'],3,3
D16,2023-01-05 17:30:00,2023-01-05 17:33:00,['desativada'],['Mantém estado'],2,2
D17,2023-01-06 09:39:00,2023-01-06 09:50:00,['desativada'],['Mantém estado'],3,3
D18,2023-01-06 10:05:00,2023-01-06 10:30:00,['desativada'],['Mantém estado'],5,5
D19,2023-01-06 10:40:00,2023-01-09 11:24:00,['desativada'],['Mantém estado'],68,68
D20,2023-01-09 11:40:00,2023-01-10 10:45:00,['desativada'],['Mantém estado'],62,62
D21,2023-01-10 11:32:00,2023-01-10 13:34:00,['desativada'],['Mantém estado'],17,17
D22,2023-01-10 13:56:00,2023-01-10 13:56:00,['desativada'],['Mantém estado'],1,1
D23,2023-01-10 14:03:00,2023-01-10 14:03:00,['desativada'],['Mantém estado'],1,1
D24,2023-01-10 15:15:00,2023-01-10 15:16:00,['desativada'],['Mantém estado'],2,2
D25,2023-01-11 09:44:00,2023-01-12 09:59:00,['desativada'],['Mantém estado'],78,78
D26,2023-01-12 10:02:00,2023-01-12 10:09:00,['desativada'],['Mantém estado'],2,2
D27,2023-01-12 10:49:00,2023-01-16 10:42:00,['desativada'],['Mantém estado'],160,160
D28,2023-01-16 11:04:00,2023-01-16 13:04:00,['desativada'],['Mantém estado'],18,18
D29,2023-01-16 13:18:00,2023-01-16 13:52:00,['desativada'],['Mantém estado'],4,4
D30,2023-01-16 14:01:00,2023-01-17 09:10:00,['desativada'],['Mantém estado'],31,31
D31,2023-01-17 09:47:00,2023-01-17 12:14:00,['desativada'],['Mantém estado'],22,22
D32,2023-01-17 12:26:00,2023-01-17 12:35:00,['desativada'],['Mantém estado'],3,3
D33,2023-01-17 13:02:00,2023-01-17 14:37:00,['desativada'],['Mantém estado'],17,17
D34,2023-01-17 14:57:00,2023-01-17 15:10:00,['desativada'],['Mantém estado'],4,4
D35,2023-01-17 15:38:00,2023-01-17 15:52:00,['desativada'],['Mantém estado'],3,3
D36,2023-01-17 16:11:00,2023-01-17 17:29:00,['desativada'],['Mantém estado'],13,13
D37,2023-01-18 09:05:00,2023-01-18 11:09:00,['desativada'],['Mantém estado'],15,15
D38,2023-01-18 11:15:00,2023-01-18 11:22:00,['desativada'],['Mantém estado'],3,3
D39,2023-01-18 11:35:00,2023-01-20 15:20:00,['desativada'],['Mantém estado'],167,167
D40,2023-01-20 15:30:00,2023-01-20 17:11:00,['desativada'],['Mantém estado'],16,16
D41,2023-01-20 17:25:00,2023-01-20 17:31:00,['desativada'],['Mantém estado'],3,3
D42,2023-01-23 10:02:00,2023-01-23 11:53:00,['desativada'],['Mantém estado'],9,9
D43,2023-01-23 12:43:00,2023-01-23 12:53:00,['desativada'],['Mantém estado'],3,3
D44,2023-01-23 13:34:00,2023-01-23 15:17:00,['desativada'],['Mantém estado'],19,19
D45,2023-01-23 15:23:00,2023-01-23 15:44:00,['desativada'],['Mantém estado'],3,3
D46,2023-01-23 15:51:00,2023-01-23 16:20:00,['desativada'],['Mantém estado'],3,3
D47,2023-01-23 16:46:00,2023-01-26 10:42:00,['desativada'],['Mantém estado'],179,179
D48,2023-01-26 10:58:00,2023-01-26 11:06:00,['desativada'],['Mantém estado'],2,2
D49,2023-01-26 11:33:00,2023-01-26 11:56:00,['desativada'],['Mantém estado'],3,3
D50,2023-01-26 12:20:00,2023-01-26 12:45:00,['desativada'],['Mantém estado'],4,4
D51,2023-01-26 12:54:00,2023-01-26 13:46:00,['desativada'],['Mantém estado'],8,8
D52,2023-01-26 14:15:00,2023-01-26 17:01:00,['desativada'],['Mantém estado'],29,29
D53,2023-01-26 17:31:00,2023-01-27 09:55:00,['desativada'],['Mantém estado'],12,12
D54,2023-01-27 10:10:00,2023-01-27 10:25:00,['desativada'],['Mantém estado'],3,3
D55,2023-01-27 11:00:00,2023-01-30 11:25:00,['desativada'],['Mantém estado'],74,74
D56,2023-01-30 11:38:00,2023-01-30 13:27:00,['desativada'],['Mantém estado'],12,12
D57,2023-01-30 15:11:00,2023-01-30 16:24:00,['desativada'],['Mantém estado'],12,12
D58,2023-01-30 16:44:00,2023-01-31 15:25:00,['desativada'],['Mantém estado'],73,73
D59,2023-01-31 16:15:00,2023-01-31 16:59:00,['desativada'],['Mantém estado'],6,6
D60,2023-01-31 17:38:00,2023-02-01 09:02:00,['desativada'],['Mantém estado'],2,2
D61,2023-02-01 09:39:00,2023-02-01 10:03:00,['desativada'],['Mantém estado'],6,6
D62,2023-02-01 10:08:00,2023-02-01 10:15:00,['desativada'],['Mantém estado'],3,3
D63,2023-02-01 10:23:00,2023-02-06 13:04:00,['desativada'],['Mantém estado'],243,243
D64,2023-02-06 15:00:00,2023-02-06 16:34:00,['desativada'],['Mantém estado'],19,19
D65,2023-02-06 16:48:00,2023-02-07 10:06:00,['desativada'],['Mantém estado'],12,12
D66,2023-02-07 11:45:00,2023-02-07 13:41:00,['desativada'],['Mantém estado'],19,19
D67,2023-02-07 14:14:00,2023-02-07 14:17:00,['desativada'],['Mantém estado'],2,2
D68,2023-02-07 14:26:00,2023-02-09 10:58:00,['desativada'],['Mantém estado'],111,111
D69,2023-02-09 11:18:00,2023-02-10 13:46:00,['desativada'],['Mantém estado'],105,105
D70,2023-02-10 13:58:00,2023-02-10 14:37:00,['desativada'],['Mantém estado'],7,7
D71,2023-02-10 15:14:00,2023-02-13 10:18:00,['desativada'],['Mantém estado'],32,32
D72,2023-02-13 10:36:00,2023-02-13 10:44:00,['desativada'],['Mantém estado'],3,3
D73,2023-02-13 11:12:00,2023-02-17 10:44:00,['desativada'],['Mantém estado'],276,276
D74,2023-02-17 11:04:00,2023-02-17 11:17:00,['desativada'],['Mantém estado'],3,3
D75,2023-02-17 11:42:00,2023-02-17 11:53:00,['desativada'],['Mantém estado'],3,3
D76,2023-02-17 12:03:00,2023-02-17 12:07:00,['desativada'],['Mantém estado'],2,2
D77,2023-02-17 13:34:00,2023-02-17 14:48:00,['desativada'],['Mantém estado'],12,12
D78,2023-02-17 14:52:00,2023-02-17 15:00:00,['desativada'],['Mantém estado'],3,3
D79,2023-02-17 15:24:00,2023-02-17 15:47:00,['desativada'],['Mantém estado'],4,4
D80,2023-02-17 16:16:00,2023-02-17 16:44:00,['desativada'],['Mantém estado'],4,4
D81,2023-02-17 16:59:00,2023-02-17 17:05:00,['desativada'],['Mantém estado'],3,3
D82,2023-02-17 17:10:00,2023-02-22 13:57:00,['desativada'],['Mantém estado'],9,9
D83,2023-02-22 14:52:00,2023-02-22 15:08:00,['desativada'],['Mantém estado'],3,3
D84,2023-02-22 15:29:00,2023-02-22 15:39:00,['desativada'],['Mantém estado'],3,3
D85,2023-02-22 16:04:00,2023-02-22 16:34:00,['desativada'],['Mantém estado'],4,4
D86,2023-02-22 16:48:00,2023-02-22 17:23:00,['desativada'],['Mantém estado'],4,4
